X,Y,FID,OGF_ID,MOH_PRO_ID,SERV_TYPE,SERV_DET,EN_NAME,FR_NAME,EN_ALT,FR_ALT,ADDRESS_1,ADDRESS_2,ADDR_DESCR,COMMUNITY,POSTALCODE,GEO_UPT_DT,EFF_DATE
-79.3693503792314,43.6498212851195,1,137284581,9000000000,AIDS Bureau,"CBAESP, HR Program",2-Spirited People of the 1st Nations, , , ,145 Front Street East,Unit 105,Practice Location,Toronto,M5A1E3,20210527133651,20210527083731
-79.3840499851976,43.6643454869889,2,137284582,9000000001,AIDS Bureau,CBAESP,Action Positive VIH-SIDA, , , ,543 Yonge Street,4th Floor,Practice Location,Toronto,M4Y1Y5,20210527134820,20210527083727
-79.3772036817522,43.6499988847868,3,137284583,9000000002,AIDS Bureau,CBAESP,African and Caribbean Council on HIV/AIDS in Ontario, , , ,20 Victoria Street,4th Floor,Practice Location,Toronto,M5C2N8,20210527134341,20210527083722
-79.3645549781279,43.6546728861938,4,137284584,9000000003,AIDS Bureau,CBAESP,Africans in Partnership Against AIDS, , , ,526 Richmond Street East,2nd Floor,Practice Location,Toronto,M5A1R3,20210527134549,20210527083729
-79.3750863826294,43.6676582879861,5,137284585,9000000004,AIDS Bureau,CBAESP,AIDS Bereavement & Resiliency Project of Ontario (c/o Fife House), , , ,490 Sherbourne Street,2nd Floor,Practice Location,Toronto,M4X1K9,20210527133957,20210527083724
-80.4600641067588,43.4378123965968,6,137284586,9000000005,AIDS Bureau,"CBAESP, HR Program","AIDS Committee of Cambridge, Kitchener, Waterloo and Area", , , ,1770 King Street East,Unit 5,Practice Location,Kitchener,N2G2P1,20210527134655,20210527083732
-78.8618442383741,43.8946575514365,7,137284587,9000000006,AIDS Bureau,"CBAESP, HR Program",AIDS Committee of Durham Region, , , ,115 Simcoe Street South, ,Practice Location,Oshawa,L1H4G7,20210527134646,20210527083727
-79.4664284648764,46.3129695303021,8,137284588,9000000007,AIDS Bureau,"CBAESP, HR Program, HCV Team, HIV POC Testing",AIDS Committee of North Bay and Area, , , ,269 Main Street West,Suite 201,Practice Location,North Bay,P1B2T8,20210527134800,20210527083722
-75.6809932321531,45.4146301544207,9,137284589,9000000008,AIDS Bureau,CBAESP,AIDS Committee of Ottawa, , , ,19 Main Street, ,Practice Location,Ottawa,K1S1A9,20210527134950,20210527083729
-89.216012958206,48.438364766551,10,137284590,9000000009,AIDS Bureau,"CBAESP, HR Program, HCV Team, HIV Outpatient Clinic, HIV POC Testing",AIDS Committee of Thunder Bay (operating as Elevate Northwestern Ontario), , , ,106 Cumberland Street North,Suite 102,Practice Location,Thunder Bay,P7A4M2,20210527133746,20210527083725
-79.3840499851976,43.6643454869889,11,137284591,9000000010,AIDS Bureau,CBAESP,AIDS Committee of Toronto, , , ,543 Yonge Street,4th Floor,Practice Location,Toronto,M4Y1Y5,20210527133658,20210527083732
-83.0385754089712,42.3146432724351,12,137284592,9000000011,AIDS Bureau,"CBAESP, HR Program",Pozitive Pathways Community Services, , , ,511 Pelissier Street, ,Practice Location,Windsor,N9A4L2,20210527134341,20210527083727
-79.4401526234986,43.8942450246018,13,137284593,9000000012,AIDS Bureau,"CBAESP, HR Program",CAYR Community Connections, , , ,10909 Yonge Street,Unit 203,Practice Location,Richmond Hill,L4C3E3,20210527134535,20210527083723
-84.3148410536951,46.532381602829,14,137284594,9000000013,AIDS Bureau,"AT site, HIV POC Testing",Algoma Public Health, , , ,294 Willow Avenue, ,Practice Location,Sault Ste. Marie,P6B0A9,20210527133721,20210527083732
-79.3763496825995,43.6627363870634,15,137284595,9000000014,AIDS Bureau,CBAESP,Alliance for South Asian AIDS Prevention, , , ,120 Carlton Street,Suite 315,Practice Location,Toronto,M5A4K3,20210527134822,20210527083725
-87.9589397507689,49.6026191117465,16,137284596,9000000015,AIDS Bureau,CBAESP,Animbiigoo Zaagi'igan Anishinaabek (Lake Nipigon Ojibway), , , ,204 Main Street,Postal Office Box 120,Practice Location,Beardmore,P0T1G0,20210527134725,20210527083733
-79.3982269886285,43.6519399841532,17,137284597,9000000016,AIDS Bureau,CBAESP,Asian Community AIDS Services, , , ,260 Spadina Avenue,Unit 410,Practice Location,Toronto,M5T2E4,20210527134830,20210527083727
-81.2424433127004,42.9900088802257,18,137284598,9000000017,AIDS Bureau,CBAESP,Association of Iroquois and Allied Indians, , , ,387 Princess Avenue, ,Practice Location,London,N6B2A7,20210527134959,20210527083722
-79.3871246859301,43.6615223863507,19,137284599,9000000018,AIDS Bureau,"AT site, HIV POC Testing",Bay Centre for Birth Control, , , ,76 Grenville Street,3rd Floor,Practice Location,Toronto,M5S1B2,20210527134005,20210527083729
-79.4574790129969,43.7139287922749,20,137284600,9000000019,AIDS Bureau,"AT site, HIV POC Testing",Birth Control and Sexual Health Centre, , , ,960 Lawrence Avenue West,Suite 403,Practice Location,Toronto,M6A3B5,20210527134029,20210527083725
-79.3772036817522,43.6499988847868,21,137284601,9000000020,AIDS Bureau,"CBAESP, HR Program",Black Coalition for AIDS Prevention, , , ,20 Victoria Street,4th Floor,Practice Location,Toronto,M5C2N8,20210527134551,20210527083733
-79.5188067365581,43.7589947973062,22,137284602,9000000021,AIDS Bureau,HIV POC Testing,Black Creek Community Health Centre, , , ,1 Yorkgate Boulevard,Suite 202,Practice Location,Toronto,M3N2A1,20210527133818,20210527083728
-80.2744123226883,43.1518442550287,23,137284603,9000000022,AIDS Bureau,HIV POC Testing,Brant County Health Unit, , , ,194 Terrace Hill Street, ,Practice Location,Brantford,N3R1G7,20210527134503,20210527083723
-75.6970254376105,45.41629605403,24,137284604,9000000023,AIDS Bureau,CBAESP,Bruce House, , , ,251 Bank Street,Suite 402,Practice Location,Ottawa,K2P1X3,20210527134019,20210527083730
-79.402315589443,43.646373982986,25,137284605,9000000024,AIDS Bureau,"CBAESP, HCV Team, HIV POC Testing",Canadian AIDS Treatment Information Exchange, , , ,555 Richmond Street West,"Suite 505, Postal Office Box 1104",Practice Location,Toronto,M5V3B1,20210527134549,20210527083725
-75.7334234468763,45.3833267468651,26,137284606,9000000025,AIDS Bureau,"AT site, HIV POC Testing",Carlington Community and Health Services, , , ,900 Merivale Road,2nd floor,Practice Location,Ottawa,K1Z5Z8,20210527134938,20210527083730
-79.3789136839542,43.6688368880156,27,137284607,9000000026,AIDS Bureau,"CBAESP, HIV Outpatient Clinic",Casey House, , , ,119 Isabella Street, ,Practice Location,Toronto,M4Y1P2,20210527134139,20210527083725
-79.3763496825995,43.6627363870634,28,137284608,9000000027,AIDS Bureau,CBAESP,Centre for Spanish-Speaking Peoples, , , ,120 Carlton Street,Suite 201,Practice Location,Toronto,M5A4K3,20210527134016,20210527083733
-79.402315589443,43.646373982986,29,137284609,9000000028,AIDS Bureau,"CBAESP, AT site, HIV POC Testing",Centre francophone du Grand Toronto, , , ,555 Richmond Street West,"Unit 303, Postal Office Box 600",Practice Location,Toronto,M5V3B1,20210527133853,20210527083728
-75.6977601377841,45.4154713538583,30,137284610,9000000029,AIDS Bureau,"AT site, HIV POC Testing",Centretown Community Health Centre, , , ,420 Cooper Street, ,Practice Location,Ottawa,K2P2N6,20210527134044,20210527083723
-82.1751914509429,42.4064661314381,31,137284611,9000000030,AIDS Bureau,"AT site, HIV POC Testing",Chatham-Kent Public Health Unit, , , ,177 King Street East,Suite 2,Practice Location,Chatham-Kent,N7M3N1,20210527133825,20210527083730
-75.6512841211394,45.4009195533286,32,137284612,9000000031,AIDS Bureau,HIV Outpatient Clinic,"Children's Hospital of Eastern Ontario (CHEO), Division of Infectious Diseases", , , ,401 Smyth Road, ,Practice Location,Ottawa,K1H8L1,20210527134721,20210527083726
-81.0221979250224,44.9080828208069,33,137284613,9000000032,AIDS Bureau,CBAESP,Chippewas of Nawash First Nation, , , ,135 Lakeshore Boulevard,Chippewas of Nawash Health Centre,Practice Location,Wiarton,N0H2T0,20210527134249,20210527083722
-79.8735247051091,43.2569441924144,34,137284614,9000000033,AIDS Bureau,"AT site, HIV POC Testing","City of Hamilton, Hamilton Public Health, David Braley Science Centre
Sexual Health Program", , , ,100 Main Street West,4th Floor,Practice Location,Hamilton,L8P1H6,20210527134551,20210527083729
-79.8711221044283,43.2578666926897,35,137284615,9000000034,AIDS Bureau,"CBAESP, AT site, HIV POC Testing","City of Hamilton, Hamilton Public Health, Infectious Diseases Program", , , ,110 King Street West,4th Floor,Practice Location,Hamilton,L8P4S6,20210527134239,20210527083724
